lat,lng,Prediction
33.2236,-117.1198,68.41
33.6843,-117.3348,13.45
39.0063,-122.0068,36.8
40.3755,-121.5694,50.79
37.3713,-122.2203,75.78
32.7926,-115.8586,14.12
41.0301,-124.1095,8.92
37.3835,-122.0257,40.21
39.6265,-120.4357,37.09
36.4883,-119.9851,86.29
37.6254,-122.4313,76.02
35.12,-118.3742,49.95
38.0149,-122.0702,9.14
41.5281,-120.1748,24.23
35.7239,-120.2965,50.2
34.2531,-117.1945,6.31
38.2471,-122.0086,90.85
35.0044,-118.9495,21
40.0762,-122.1776,9.86
36.7346,-118.9558,71.18
38.231,-121.425,43.07
33.6227,-116.2126,91.69
40.9213,-121.5515,24.6
34.2164,-117.4014,58.45
39.7252,-120.9591,66.05
37.9796,-121.2625,66.08
38.074,-120.4563,35.98
36.9205,-121.7706,4.2
36.6816,-119.7318,81.6
41.644,-121.9708,75.21
33.9417,-118.3018,23.81
35.85,-119.3892,40.85
34.1375,-118.6689,73.7
34.0497,-118.1325,7.61
40.7249,-124.2176,23.49
35.8824,-119.2715,5.42
32.8415,-116.5107,36.74
37.9905,-122.5222,27.65
33.6667,-117.9135,94.84
34.8869,-120.3141,48.14
38.7691,-121.3178,63.25
33.647,-117.6837,76.08
40.3226,-123.9209,98.46
33.9168,-118.3693,94.24
37.6861,-121.7608,86.62
36.8366,-119.9174,60.83
34.7336,-115.245,81.17
40.0871,-121.5369,28.78
34.8845,-117.1091,2.12
34.1067,-117.6892,85.65
34.0449,-116.9495,78.54
33.9551,-116.543,20.7
35.6839,-118.2102,88.68
33.6905,-116.143,29.82
33.5275,-116.1261,85.62
40.8657,-120.4602,98.53
34.1687,-118.0504,71.36
34.2408,-117.0773,5.58
36.8103,-121.7211,67.42
38.6336,-121.3229,40.66
37.9917,-120.2617,17.01
37.858,-122.4932,21
36.5097,-121.0819,23.16
34.4667,-120.1085,94.06
37.602,-120.866,60.97
39.8485,-120.4111,21.4
35.7177,-119.3287,80.77
36.6518,-118.9552,25.42
34.9312,-119.6148,77.96
37.5953,-120.9625,43.96
39.2053,-121.2928,61.12
32.8129,-115.3779,61.28
37.4797,-119.6373,5.32
38.3564,-122.5412,2.38
40.2809,-120.5335,90.33
37.5053,-120.8588,31.95
34.0497,-117.9967,4.63
37.7569,-120.1291,4.84
34.157,-117.659,66.21
40.8005,-121.9375,47.98
37.4816,-122.2644,75.17
37.8654,-122.5857,54.66
37.253,-119.1748,69.87
33.8171,-118.0386,36.08
37.4306,-120.7759,5.07
38.6267,-121.2486,30
40.2336,-121.2021,65.73
33.6222,-114.6189,25.63
38.1735,-121.2798,74.48
36.7908,-118.6704,72.1
38.0386,-121.2456,55.26
40.7941,-124.1568,5.64
34.0512,-117.9681,80.59
34.8272,-116.6884,18.69
38.019,-121.8969,99.64
32.8323,-116.9059,9.42
38.5362,-122.468,42.94
40.1735,-122.2413,88.33
37.0047,-121.5843,34.26
36.1361,-119.5109,91.16
35.0516,-119.4053,72.72
38.0605,-122.7009,62.67
34.1224,-118.1132,10.27
33.98,-118.2167,91.69
34.4438,-117.6214,53.52
34.0688,-118.0823,41.45
39.2049,-122.0095,54.45
39.7805,-120.4823,52.79
33.4279,-114.7273,72.58
36.6082,-119.5437,12.31
36.6247,-121.6465,52.31
34.2453,-119.1568,8
33.9963,-118.1519,31.29
35.5173,-120.521,29.41
39.7771,-120.5447,38.56
40.862,-124.0754,32.34
37.3947,-121.0843,49.12
35.9412,-121.0802,1.45
41.4477,-120.8843,65.01
39.8564,-120.463,1.73
33.0735,-116.5889,6.93
33.9223,-116.4401,72.57
34.0336,-117.0426,80.01
33.9069,-118.0829,28.4
34.0393,-117.6064,74.06
39.7206,-120.5536,98.04
35.9769,-119.2889,82.07
34.0983,-118.3267,59.01
41.8612,-122.8256,30.2
37.4982,-122.268,67.51
33.9245,-117.989,21.27
41.9024,-120.3583,70.01
36.1051,-118.5294,58.99
37.586,-122.3669,92.28
36.5983,-119.4473,45.48
40.3652,-120.4222,59.21
41.141,-123.14,54.88
38.8981,-121.5729,8.92
39.0817,-121.5549,27.42
34.2242,-118.2401,16.04
40.5855,-124.1417,29.14
40.3877,-120.381,20.84
34.0381,-118.0026,57.95
35.1775,-118.646,28.18
39.0344,-120.1241,49.56
37.9722,-122.0016,76.12
35.6411,-118.4047,26.51
35.9366,-117.9067,7.68
37.8316,-122.1877,31.08
34.8122,-118.9542,33.74
41.051,-120.4755,61.58
36.9707,-120.6467,16.62
37.0555,-122.0118,40.9
32.817,-114.8389,99.54
39.5458,-120.8881,38.45
37.3543,-120.5981,26.22
33.8346,-118.3417,6.88
40.5023,-124.1104,90.15
41.9533,-121.4751,38.8
33.802,-117.7823,78.54
37.9789,-121.7957,33.11
35.1019,-120.609,61.74
39.0024,-122.7794,43.93
38.7746,-120.2969,62.19
38.416,-121.384,52.85
38.4722,-120.0491,73.09
38.1987,-120.0106,10.69
39.0115,-123.374,67.16
35.8379,-118.6039,30.4
36.9276,-121.8445,19.51
32.7873,-115.5579,28.89
34.0106,-117.3098,10.62
34.0628,-117.4889,12.54
34.4504,-118.6717,33.61
37.8325,-120.2394,2.66
38.3523,-121.9077,18.14
33.8347,-118.2187,70.12
38.0768,-120.1624,18.7
38.0055,-122.5033,42.44
33.9447,-118.1926,30.72
37.8438,-122.1225,33.1
34.1449,-117.8468,81.46
34.103,-118.0238,96.51
40.0059,-120.9525,21.19
39.2968,-120.6727,82.85
35.6308,-117.6621,25.36
33.5275,-117.705,63.02
38.5667,-121.4683,32.2
36.296,-119.7983,59.59
41.1964,-120.9494,81.34
39.7752,-120.6109,87.2
37.6767,-122.4526,30.48
36.6224,-121.8191,7.1
34.2499,-117.5044,55.93
35.2911,-118.6279,97.47
37.6736,-119.799,70.9
36.0573,-118.9712,18.06
37.0631,-120.8405,55.78
38.6669,-121.1422,53.22
33.5006,-117.7431,11.65
38.9744,-123.691,43.28
35.6378,-118.4819,3.94
37.5482,-122.4924,3.63
34.3912,-117.4126,17.22
38.4466,-121.825,89.86
39.452,-121.0488,11.26
34.0968,-117.4599,60.39
35.3089,-117.9684,66.22
37.9608,-120.2374,29.42
37.0829,-121.5963,61.01
40.5035,-121.86,55.43
38.7962,-123.0154,61.23
37.9687,-121.3408,47.87
40.7735,-123.1284,35.19
37.7432,-121.0091,42.86
32.5687,-117.1184,99.16
37.4371,-120.0936,22.2
32.7318,-115.5204,53.32
36.1436,-118.5771,79.56
32.7331,-117.0344,19.96
37.8394,-121.993,25.11
41.8256,-122.0057,52.89
37.6863,-122.4684,61.8
38.0113,-122.7022,9.01
37.8808,-122.179,50.85
37.5134,-122.466,82.14
34.1393,-118.1027,37.79
37.9547,-119.1221,98.29
40.1008,-120.9217,98.96
38.1837,-120.815,48.23
36.4526,-119.4824,33.82
33.9381,-117.3948,66.63
32.8696,-116.6279,37.87
32.9783,-115.5287,84.69
35.4092,-119.4406,27.85
32.6131,-116.6068,90.28
36.142,-118.6107,1.56
32.8017,-116.9604,4.28
35.835,-116.2074,92.74
37.5994,-122.4024,25.35
36.6192,-121.9255,17.44
38.5477,-121.3553,0.89
36.9912,-121.8928,77.8
34.6151,-120.0944,51.33
34.5005,-118.1165,76.96
38.0329,-121.9612,27.67
37.0177,-122.1882,98.54
37.4008,-118.3457,85.98
37.3058,-120.4778,51.91
33.9925,-117.5164,73.14
40.0263,-123.4903,24.89
36.1466,-117.9759,23.37
33.5719,-117.1909,0.05
37.3272,-122.3866,15.31
37.9763,-121.0439,84.89
37.0755,-119.4901,63.04
41.908,-122.5597,52.57
37.8608,-122.1272,98.24
35.5758,-118.5345,95.87
39.2483,-120.0535,63.26
34.4487,-119.2469,72.68
36.7941,-119.7012,3.08
36.7055,-119.8516,35.01
39.2652,-123.5897,52.82
36.4026,-119.7208,72.69
38.7468,-120.8761,69.05
39.9027,-121.7448,92.26
37.4338,-122.2034,24.69
38.3463,-123.0595,77.6
38.3329,-121.557,57.08
34.1128,-117.3885,35.62
40.7488,-122.9274,52.45
39.208,-120.8345,16.23
35.4158,-120.614,35.44
39.0287,-121.39,20.74
39.0697,-122.776,11.79
33.8229,-118.2931,37.71
39.6002,-122.5376,64.63
38.6712,-121.75,29.22
38.4465,-122.706,92.39
33.7406,-116.3156,51.61
35.1971,-120.7192,47.15
37.2892,-120.3207,34.66
38.693,-120.064,98.59
39.1518,-121.5836,19.63
38.8678,-121.1318,66.61
34.5944,-118.1057,6.62
37.2682,-122.0264,53.96
38.4004,-122.9349,56.29
36.1423,-119.1375,23.16
38.0683,-120.5396,65.13
36.5464,-119.3359,26.77
34.0555,-117.9113,54.31
37.5154,-122.2955,33.27
38.3183,-122.8502,98.05
37.3836,-122.2627,45.26
33.8059,-118.161,93.5
36.481,-119.444,26.42
35.3831,-119.1184,21.78
39.8666,-120.7274,69.53
32.8555,-116.9856,86.38
34.2539,-119.2037,70.63
35.3068,-120.8249,53.06
34.0334,-117.8593,50.55
36.964,-120.0803,91.58
33.9356,-116.6873,51.91
37.5034,-120.242,22.77
37.9654,-122.3306,68.64
38.0704,-122.1541,25
37.4539,-122.2032,14.68
37.9355,-121.7191,70.41
38.0121,-121.8513,68.52
38.3826,-120.8106,44.7
34.1103,-118.1573,4.17
36.9848,-119.713,14.02
38.5265,-123.0978,69.05
37.9819,-120.3828,79.23
36.009,-119.9629,11.58
33.7278,-118.0823,72.37
37.8108,-120.2999,83.89
35.3895,-120.6081,65.01
38.4568,-122.4231,92.46
39.003,-121.0304,92.49
34.165,-117.9921,91.78
33.5238,-114.653,3.1
34.7375,-120.2783,34.11
35.6571,-120.5068,82.42
33.9728,-117.7081,80.85
34.1431,-118.7379,55.33
34.258,-118.6662,5.32
37.4031,-119.7293,65.19
34.5903,-118.1534,94.55
36.3123,-118.0261,97.59
40.9779,-122.4308,39.93
38.7518,-122.6221,89.13
37.9365,-120.6277,46.36
34.2361,-117.6601,73.31
33.7436,-116.8872,37.7
33.7783,-118.3509,73.72
33.5792,-117.729,80.22
41.4127,-122.3816,85.62
36.9788,-122.0346,49.21
39.8684,-120.6905,89.47
36.4766,-118.0309,7.74
38.3592,-121.9686,83.75
41.2318,-122.2714,45.42
36.0238,-120.9075,90.25
33.8676,-118.0806,48.86
34.9925,-117.5417,26.94
36.9978,-121.9483,45.09
38.5341,-119.4582,75.71
37.5184,-122.5036,90.69
33.9886,-118.057,85.96
37.9766,-121.3112,49.66
33.5009,-117.6544,69.61
34.6934,-118.1753,16.84
34.0948,-118.099,82.19
36.9293,-120.0482,78.37
37.9051,-122.6457,80.93
39.393,-120.0145,26.61
39.234,-121.1381,4.9
40.5511,-122.2363,41.67
33.7459,-117.1132,3
33.3759,-116.0115,55.5
34.2663,-118.749,34.58
34.1535,-117.9684,48.89
33.3338,-118.3317,4.78
41.9643,-121.9208,70.4
39.235,-121.2003,36.61
32.8381,-116.8967,7.38
33.9972,-118.374,10.26
34.1082,-117.809,82.28
38.4776,-120.8584,59.16
35.0139,-118.1895,14.02
38.0446,-122.185,64.41
38.3622,-120.804,6.41
40.5671,-124.1356,48.62
39.8228,-121.6078,78.07
35.6536,-120.3831,9.21
33.6262,-116.1309,85.57
34.8658,-118.2154,10.27
35.1944,-118.8306,10.25
35.3475,-118.8718,74.72
39.6725,-120.9852,71.8
37.926,-122.054,22.54
37.9238,-122.5129,66.43
33.9875,-117.8848,21.52
37.767,-122.2673,43.62
37.5265,-121.9852,46.51
36.695,-121.6746,32.3
33.7644,-117.7945,97.93
33.9683,-118.222,16.02
34.5064,-117.9098,50.67
33.1803,-117.1092,22.63
36.6246,-119.6739,55.84
37.9977,-122.33,44.49
33.1488,-115.5058,9.41
33.9059,-116.9763,50.71
34.8158,-115.1791,62.39
38.1912,-120.6763,99.19
34.0232,-118.4813,24.5
33.233,-117.0157,29.01
34.1097,-117.1706,27.07
34.1586,-119.2231,60.68
34.905,-116.8203,15.07
38.0518,-122.22,56.81
34.2886,-118.4363,62.83
35.3405,-115.3105,49.71
34.223,-119.0323,37.17
38.692,-120.8391,53.99
40.4206,-120.6129,65.36
36.512,-119.4465,72.95
35.7531,-118.4321,21.6
38.2913,-121.2318,16.67
32.9946,-117.2575,80.76
33.7105,-117.9514,92.63
34.235,-117.3081,96.48
34.3495,-117.6299,89.53
38.6934,-122.0241,39.03
39.3326,-121.5388,49.47
41.0118,-124.0848,40.85
38.5739,-121.2521,7.05
32.7898,-115.683,34.23
37.6536,-122.4197,59.31
34.2389,-117.2337,48.08
33.0728,-117.1192,76.62
38.1385,-121.1987,11.03
38.6594,-122.8717,30.17
40.7219,-124.1987,68.35
40.3482,-120.2335,34.68
37.9477,-122.339,71.76
34.9608,-120.5735,52.27
40.9385,-123.6412,11.5
32.5773,-116.6275,27.38
38.2974,-120.9179,70.2
37.7912,-120.9981,42.35
37.8735,-122.4662,45.23
38.3278,-122.7092,61.92
34.8655,-117.0464,99.12
39.5701,-120.8213,62.8
34.5989,-117.3342,19.62
35.4689,-119.2687,71.74
35.6175,-118.4047,74.7
40.0389,-124.0558,43.83
33.8504,-118.0406,44.66
33.5493,-117.6415,31.73
33.8653,-118.3966,92.18
37.929,-121.2457,53.08
40.679,-122.3775,8.62
37.816,-121.9071,60.89
39.5147,-122.1992,76.82
41.4117,-120.6605,79.84
36.3232,-121.2451,97.1
32.7431,-116.002,1.91
38.057,-120.179,92.13
37.8756,-121.6421,47.86
33.4625,-117.6717,43.03
38.9518,-121.531,83.89
37.0123,-120.0799,7.66
40.1209,-123.822,43.59
38.2577,-122.4982,49.77
34.176,-114.264,83.15
39.3631,-123.8044,17
32.6652,-117.0296,5.35
38.9123,-123.6954,49.52
36.4846,-117.872,2.37
39.774,-121.9549,66.73
33.7301,-116.941,92.76
34.8446,-119.1669,87.65
33.8976,-118.1651,17.69
37.2172,-119.9054,2.91
34.1983,-117.1275,99.7
32.711,-117.0027,26.22
38.9924,-121.558,55.31
34.8226,-119.0027,14.53
33.9127,-116.7828,95.29
39.311,-123.7908,88.43
40.432,-123.4924,95.19
40.2117,-123.7845,51.24
36.6562,-119.5993,33.84
33.893,-118.2275,57.34
33.5679,-116.6967,10.23
38.2423,-122.6267,57.25
34.6647,-120.118,7.21
34.185,-118.7669,23.97
